CNTR_CODE,NUTS_ID,LEVL_CODE,NAME_LATN,mean,min,max,std
EL,EL303,3,Kentrikos Tomeas Athinon,223.5667275898617,18.808727264404297,1021.9974975585938,199.8631085834286
EL,EL304,3,Notios Tomeas Athinon,104.09865306907831,-6.106630802154541,744.1436767578125,145.4105646809975
EL,EL305,3,Anatoliki Attiki,252.54948829138073,-1.6216058731079102,1405.4632568359375,233.20593399125477
EL,EL306,3,Dytiki Attiki,341.67974005992124,-4.312685489654541,1403.76318359375,278.27810577184323
EL,EL307,3,"Peiraias, Nisoi",144.34950179697262,-10.017843246459961,1096.151611328125,166.99874758320635
EL,EL411,3,"Lesvos, Limnos",159.78394740043152,-2.4867444038391113,958.1566162109375,169.11079331177
EL,EL412,3,"Ikaria, Samos",284.66575712191536,-0.39796382188796997,1429.0758056640625,283.0466073075127
EL,EL413,3,Chios,265.88884674927414,-1.0263935327529907,1282.923583984375,247.00135214687583
EL,EL421,3,"Kalymnos, Karpathos, Kasos, Kos, Rodos",154.10239857401973,-1.848772406578064,1213.3463134765625,175.02346098175224
EL,EL422,3,"Andros, Thira, Kea - Kythnos, Milos, Mykonos, Naxos, Paros,  Syros, Tinos",156.0128039815673,-3.8087501525878906,994.0042114257812,177.08877012559526
EL,EL431,3,Irakleio,396.8926592014478,-0.8409008979797363,2120.443115234375,311.9724150121765
EL,EL432,3,Lasithi,465.9992678959648,-2.6348817348480225,2140.70166015625,397.84244524936133
EL,EL433,3,Rethymni,545.657366502579,-0.2504890263080597,2450.219482421875,427.49880447958407
EL,EL434,3,Chania,499.9436390872827,-1.3909270763397217,2448.373779296875,509.1898603774211
EL,EL511,3,Evros,188.8297866202533,-1.4810562133789062,1603.7423095703125,194.66198120764224
EL,EL512,3,Xanthi,363.83516839807584,-2.0,1824.6973876953125,360.27612831859886
EL,EL513,3,Rodopi,274.0096211916873,-2.0156772136688232,1493.1654052734375,273.5179370263612
EL,EL514,3,Drama,713.2719897450721,41.0,2222.650146484375,422.33029019174336
EL,EL515,3,"Thasos, Kavala",335.32857655913506,-3.2742812633514404,1947.4925537109375,337.25612589409815
EL,EL521,3,Imathia,437.16731347804847,-2.071106195449829,2052.557373046875,548.1851003376008
EL,EL522,3,Thessaloniki,252.01628413857318,-3.530881404876709,1193.3662109375,232.5365206745034
EL,EL523,3,Kilkis,308.68914499072383,12.5,1869.004638671875,284.11461580230474
EL,EL524,3,Pella,531.9024575181413,-0.4717988073825836,2514.3994140625,510.9982822869899
EL,EL525,3,Pieria,418.4788168628161,-3.218613624572754,2626.87353515625,500.7974763620487
EL,EL526,3,Serres,348.6159015260005,-1.0,2197.311279296875,412.22453509523297
EL,EL527,3,Chalkidiki,259.42819707446864,-2.0,1158.102294921875,224.45862712860972
EL,EL531,3,"Grevena, Kozani",843.079814280286,141.0,2244.123779296875,319.1042267968153
EL,EL532,3,Kastoria,1048.6070856211481,578.2188720703125,2487.263427734375,327.0780250400711
EL,EL533,3,Florina,961.351519793827,394.5179138183594,2515.239990234375,355.48786326483946
EL,EL541,3,"Arta, Preveza",451.52176228410644,-4.261274337768555,2385.16015625,433.4615809827151
EL,EL542,3,Thesprotia,365.69074067521433,-2.3159518241882324,1799.368408203125,296.74227797157
EL,EL543,3,Ioannina,916.3686386579757,92.68978881835938,2620.377197265625,443.66421840527124
EL,EL611,3,"Karditsa, Trikala",649.2428819352905,78.0,2416.10693359375,516.2364926429703
EL,EL612,3,Larisa,426.58465178680586,-0.583454966545105,2897.7666015625,429.12116437282424
EL,EL613,3,"Magnisia, Sporades",317.51350977695506,-3.050912857055664,1648.8311767578125,336.64480786694133
EL,EL621,3,Zakynthos,246.23503288939983,-1.0,753.9608764648438,201.11942498690854
EL,EL622,3,Kerkyra,118.4034110355994,-2.0,908.1392822265625,161.98397420144468
EL,EL623,3,"Ithaki, Kefallinia",323.4986814231983,-1.7967674732208252,1619.2236328125,315.1748382731698
EL,EL624,3,Lefkada,286.9045948728688,-0.22865627706050873,1172.9822998046875,284.45414697278596
EL,EL631,3,Aitoloakarnania,415.3334803426232,-3.7722692489624023,1919.5615234375,390.28838087289745
EL,EL632,3,Achaia,680.222443501442,-2.0,2332.97998046875,474.24055637565783
EL,EL633,3,Ileia,252.10831643263774,-3.9101240634918213,1787.7728271484375,290.4495785882415
EL,EL641,3,Voiotia,388.5370801529584,-0.2449454814195633,2447.3359375,368.64073678471544
EL,EL642,3,Evvoia,247.26336127688964,-2.588041067123413,1735.809326171875,267.25987442141076
EL,EL643,3,Evrytania,965.707724368353,262.441650390625,2299.49072265625,380.04619967840813
EL,EL644,3,Fthiotida,473.6486713946357,-1.9459668397903442,2158.5205078125,397.66771589199004
EL,EL645,3,Fokida,865.454861098261,-2.3865468502044678,2500.26416015625,511.4034227684933
EL,EL651,3,"Argolida, Arkadia",637.4970727790886,-5.5,1977.211669921875,381.4598326938292
EL,EL652,3,Korinthia,566.222266201649,-1.5,2368.9091796875,441.3403268991879
EL,EL653,3,"Lakonia, Messinia",437.63615895709046,-2.054121971130371,2397.603271484375,373.5522409059712
